,recipe_name,Ingredients,Ingredients_alpha
26,"[' Tajine de viande aux artichauts et petits pois', '']",-    agneau -   artichauts -      pois   - oignon     -   huile -    ail -   safran -    gingembre -   poivre noir -    sel - citron   -   olives    ,"{'olives': 307, 'huile': 901, 'ail': 259, 'gingembre': 333, 'citron': 240, 'safran': 340, 'agneau': 275, 'artichauts': 157, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'pois': 288}"
27,"[' Tajine de viande aux carottes', '']",-    agneau -   carottes - oignons  s   -   huile -    ail -   coriandre -   safran -    gingembre -   poivre noir -    sel - citron   -   olives    ,"{'coriandre': 254, 'olives': 307, 'huile': 901, 'carottes': 368, 'oignons  s': 348, 'ail': 259, 'gingembre': 333, 'safran': 340, 'agneau': 275, 'sel': 778, 'poivre noir': 399, 'citron': 240}"
28,"[' Tajine de viande aux cardons', '']",-     mouton ou de veau  -    cardons -   huile  olive -   oignon   -    ail -   gingembre -    poivre noir -    sel -   safran - citrons   -   olives    ,"{'olives': 307, 'citrons': 240, 'ail': 259, 'huile  olive': 979, 'cardons': 527, 'gingembre': 333, 'safran': 340, 'mouton': 277, 'sel': 778, 'oignon': 348, 'poivre noir': 399}"
29,"[' Tajine de viande aux courgettes farcies', ""Dolma qar'a"", '']",-     mouton -   smen -   huile -     pois chiches    - oignons  s   -   tomates -    poivre rouge -    poivre noir -    cannelle -    sel -   viande   -   courgettes -    riz -   oignon   -   persil - œuf -   poivre noir -   cannelle -     sel  ,"{'riz': 55, 'huile': 901, 'œuf': 0, 'viande': 276, 'oignons  s': 348, 'cannelle': 330, 'mouton': 277, 'pois chiches': 417, 'courgettes': 968, 'smen': 60, 'sel': 778, 'poivre noir': 399, 'oignon': 348, 'tomates': 364, 'poivre rouge': 339, 'persil': 338}"
30,"[' Tajine de viande aux choux fleurs', '']",- chou fleur -   huile - oignons  s   -   persil -   coriandre -   farine -jus   citron -   safran  -   gingembre -   poivre rouge -   poivre noir -   cumin -    sel  ,"{'cumin': 332, 'farine': 920, 'coriandre': 254, 'huile': 901, 'oignons  s': 348, 'gingembre': 333, 'jus   citron': None, 'safran': 340, 'chou fleur': 354, 'sel': 778, 'poivre noir': 399, 'poivre rouge': 339, 'persil': 338}"
31,"['Tajine de viande aux coigns', '']",-     mouton -    coings -   beurre -   huile - oignons  s   -   safran  -    gingembre -    poivre noir -    sel  ,"{'coings': 210, 'huile': 901, 'beurre': 60, 'oignons  s': 348, 'gingembre': 333, 'safran': 340, 'mouton': 277, 'sel': 778, 'poivre noir': 399}"
32,"[' Tajine de viande aux èpinard', '']",-    agneau -   èpinard -  huile -   oignon   -   pois chiches   -   persil -     tomate -   tabel -   poivre rouge -    poivre noir -    sel  ,"{'huile': 901, 'tomate': 364, 'tabel': None, 'agneau': 275, 'pois chiches': 417, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'poivre rouge': 339, 'èpinard': 396, 'persil': 338}"
33,"[' Tajine de viande au fenouil (mqalli)', '']",-     mouton -    fenouil - oignon     -    ail -   huile -   farine -   safran -   gingembre -    sel - citrons   -   olives    ,"{'farine': 920, 'olives': 307, 'citrons': 240, 'huile': 901, 'fenouil': 257, 'ail': 259, 'gingembre': 333, 'safran': 340, 'mouton': 277, 'sel': 778, 'oignon': 348}"
34,"[' Tajine de viande aux gombos', '']",-     veau -     tomate -   huile - oignons  s   -   gombos -   tabel -   poivre rouge -sel  ,"{'gombos': 347, 'huile': 901, 'tomate': 364, 'tabel': None, 'oignons  s': 348, 'sel': 778, 'poivre rouge': 339, 'veau': 270}"
35,"[' Tajine de viande aux fèves', '']",-     mouton -    fèves   -   huile - oignon     -    ail -   coriandre -   safran -    poivre noir -    gingembre -    sel - citron   -   olives      ,"{'coriandre': 254, 'olives': 307, 'huile': 901, 'ail': 259, 'gingembre': 333, 'safran': 340, 'mouton': 277, 'sel': 778, 'oignon': 348, 'fèves': 284, 'poivre noir': 399, 'citron': 240}"
36,"[' Tajine de viande au fenouil (au blond)', '']",-    agneau -   fenouil -   oignon   -   huile -   pois chiches   -   ma zena - jaune  œuf - citron -    poivre noir -sel  ,"{'ma zena': None, 'huile': 901, 'fenouil': 257, 'agneau': 275, 'pois chiches': 417, 'sel': 778, 'oignon': 348, 'poivre noir': 399, 'jaune  œuf': None, 'citron': 240}"
37,"[' Tajine de viande aux haricots à ècosser', '']",-     mouton -   haricots   - oignons  s   -   tomates -   smen -   huile -   persil -   safran -    poivre noir -    cannelle -   gingembre -    sel  ,"{'huile': 901, 'oignons  s': 348, 'gingembre': 333, 'safran': 340, 'cannelle': 330, 'mouton': 277, 'haricots': 284, 'smen': 60, 'sel': 778, 'poivre noir': 399, 'tomates': 364, 'persil': 338}"
38,"[' Tajine de viande aux haricots verts (mqalli)', '']",-    agneau -   haricots verts -   huile  -   farine -   safran -   gingembre -    sel -jus   citron - citron   -   olives    ,"{'haricots verts': 342, 'farine': 920, 'olives': 307, 'huile': 901, 'gingembre': 333, 'safran': 340, 'jus   citron': None, 'agneau': 275, 'sel': 778, 'citron': 240}"
39,"[' Tajine de viande aux mcharmel', '']",-      mouton - oignons  s   -    ail -   huile -    smen -   persil -    sel -   gingembre -   safran -    cumin -    poivre rouge -    poivre noir -   cannelle -jus   citron - citrons   -   olives    ,"{'cumin': 332, 'olives': 307, 'citrons': 240, 'huile': 901, 'ail': 259, 'oignons  s': 348, 'gingembre': 333, 'safran': 340, 'cannelle': 330, 'mouton': 277, 'jus   citron': None, 'smen': 60, 'sel': 778, 'poivre noir': 399, 'poivre rouge': 339, 'persil': 338}"
40,"[' Tajine de viande mhammar aux amandes', '']",-      mouton -   beurre -    ail -   oignons  s -   farine -   coriandre -   safran -    sel -    gingembre -   cumin -   poivre rouge -   amandes   -  huile -   beurre  ,"{'cumin': 332, 'farine': 920, 'coriandre': 254, 'huile': 901, 'beurre': 60, 'ail': 259, 'oignons  s': 348, 'gingembre': 333, 'safran': 340, 'mouton': 277, 'amandes': 281, 'sel': 778, 'poivre rouge': 339}"
